Date,Open,High,Low,Close,Volume
2008-01-02 00:00:00-05:00,26.788868201697188,27.045817026259463,26.266684889682523,26.391014099121094,9269900
2008-01-03 00:00:00-05:00,26.42416071759328,26.540202652032065,26.24181136480555,26.33298683166504,9681100
2008-01-04 00:00:00-05:00,25.69476729028738,26.2583946967008,25.69476729028738,25.802518844604492,9550700
2008-01-07 00:00:00-05:00,26.009732417590815,26.10090789616103,25.620167194399677,25.827383041381836,10742900
2008-01-08 00:00:00-05:00,25.90198609384255,26.10920198259329,25.24718312654296,25.313493728637695,13014300
2008-01-09 00:00:00-05:00,25.338353763354245,25.35493141069818,24.202811796129726,24.998519897460938,24858700
2008-01-10 00:00:00-05:00,24.783012813300196,25.645031420129364,24.783012813300196,25.42123794555664,12240900
2008-01-11 00:00:00-05:00,25.23889288994623,25.595302848359648,25.039964269110094,25.131139755249023,11671000
2008-01-14 00:00:00-05:00,25.280333143101235,25.48754898853649,24.965365753649476,25.156003952026367,8717400
2008-01-15 00:00:00-05:00,25.048253843948526,25.097986791113577,24.517781721641033,24.741575241088867,12043800
2008-01-16 00:00:00-05:00,24.584087821032284,25.08969499071926,24.310562967793572,24.724994659423828,18819600
2008-01-17 00:00:00-05:00,24.783018175349536,24.89906013964109,23.780094105609493,23.846403121948242,20109200
2008-01-18 00:00:00-05:00,24.03703460877711,24.293981777451574,23.41538716199839,23.630891799926758,16355300
2008-01-22 00:00:00-05:00,22.528511705078262,23.606033695507907,21.79911089047488,23.30764389038086,20538100
2008-01-23 00:00:00-05:00,22.46219702802964,23.655760690803135,22.45390820484487,23.639183044433594,22041300
2008-01-24 00:00:00-05:00,23.688917371861006,24.29398731180838,23.498279157510172,24.227678298950195,14847200
2008-01-25 00:00:00-05:00,24.47633711840386,24.74986198104735,23.705493892518152,23.77180290222168,11966600
2008-01-28 00:00:00-05:00,23.829819729257814,24.426600732472664,23.622603905525136,24.34371566772461,10421800
2008-01-29 00:00:00-05:00,23.813247128737945,24.20281397168057,23.30764148675165,23.871267318725586,23011500
2008-01-30 00:00:00-05:00,24.08676861898983,24.849322967730135,24.08676861898983,24.37687110900879,16609200
2008-01-31 00:00:00-05:00,24.070195764789734,25.006810783942747,23.904422439538703,24.733285903930664,15074200
2008-02-01 00:00:00-05:00,25.487546431746345,25.5289889643035,25.015094604497122,25.412948608398438,13988600
2008-02-04 00:00:00-05:00,25.73620854550519,25.73620854550519,25.379798603069382,25.611879348754883,11835300
2008-02-05 00:00:00-05:00,25.68647988937308,25.68647988937308,24.90734775021851,24.923925399780273,19217700
2008-02-06 00:00:00-05:00,26.44074073538165,26.672823044154534,25.777650683075386,26.109195709228516,31176300
2008-02-07 00:00:00-05:00,25.91027135131539,26.457321095815225,25.785942151371167,26.291547775268555,16612800
2008-02-08 00:00:00-05:00,26.200371813601738,26.772286404603985,26.200371813601738,26.623090744018555,15161400
2008-02-11 00:00:00-05:00,26.747426134400335,26.747426134400335,26.12577849522362,26.465612411499023,9082000
2008-02-12 00:00:00-05:00,26.57336430079903,26.888330146583154,26.332993132808586,26.54849624633789,14314100
2008-02-13 00:00:00-05:00,26.581647099339104,27.31933496710918,26.581647099339104,27.17013931274414,14445500
2008-02-14 00:00:00-05:00,27.120408820877998,27.2281587758522,26.656244223772305,26.788862228393555,11997100
2008-02-15 00:00:00-05:00,26.65624689024804,27.103833886316234,26.548493762632447,26.929773330688477,15225700
2008-02-19 00:00:00-05:00,26.962931760531124,27.170147659488453,26.623097812715653,26.68111801147461,10609500
2008-02-20 00:00:00-05:00,26.49876474351288,27.078968227823907,26.432455728707858,27.00437355041504,10207100
2008-02-21 00:00:00-05:00,27.045810654398174,27.261313723489998,26.68939917862652,26.747419357299805,10305200
2008-02-22 00:00:00-05:00,26.730844366323378,27.054100582994803,26.357855207909076,26.99608039855957,8812400
2008-02-25 00:00:00-05:00,27.203299921861262,27.427093447147108,26.929776609976347,27.261320114135742,13567800
2008-02-26 00:00:00-05:00,27.145279729586786,27.52655618220859,27.12041483628725,27.261320114135742,10340600
2008-02-27 00:00:00-05:00,27.15356721559499,27.543134077366936,27.02923958612503,27.435380935668945,10319600
2008-02-28 00:00:00-05:00,27.29447049655272,27.50997357734455,26.888326061926914,26.971214294433594,11221100
2008-02-29 00:00:00-05:00,26.631381709811762,27.228161202870808,26.631381709811762,26.863462448120117,14575900
2008-03-03 00:00:00-05:00,27.029235759138764,27.11212083371663,26.614804062523607,26.863462448120117,8283100
2008-03-04 00:00:00-05:00,26.656249794002736,26.730847634806963,26.00973570067666,26.41588020324707,15907700
2008-03-05 00:00:00-05:00,26.44074348468938,26.647960926129365,26.125776072326452,26.225238800048828,9692200
2008-03-06 00:00:00-05:00,26.1506416680424,26.308126168930787,25.852251895907916,25.9019832611084,10529000
2008-03-07 00:00:00-05:00,25.785940669097908,25.901981038251204,25.33006485426581,25.495838165283203,12750400
2008-03-10 00:00:00-04:00,25.545572298562504,25.545572298562504,25.097986839731433,25.247180938720703,12622400
2008-03-11 00:00:00-04:00,25.694766557103687,25.86882712009499,25.37151032244467,25.852251052856445,14520900
2008-03-12 00:00:00-04:00,25.910270110210377,26.374433172203407,25.860538748801133,26.03459930419922,9646200
2008-03-13 00:00:00-04:00,25.868827925143766,26.175508102108253,25.545571680424878,25.968292236328125,10556200
2008-03-14 00:00:00-04:00,25.968293033282443,25.99315950707457,25.22231620976664,25.512418746948242,11421400
2008-03-17 00:00:00-04:00,24.98194487705316,25.570438772193196,24.90734703709271,25.247180938720703,12626300
2008-03-18 00:00:00-04:00,25.50412845500076,26.299836599389046,25.50412845500076,26.291547775268555,13788400
2008-03-19 00:00:00-04:00,26.266681173072765,26.440741725471696,25.88540319302093,25.893692016601562,11737100
2008-03-20 00:00:00-04:00,25.926848063217026,26.507051502313413,25.901981591753607,26.44074249267578,13802300
2008-03-24 00:00:00-04:00,26.523630286790457,26.656248311749884,26.357856965125393,26.556785583496094,10536000
2008-03-25 00:00:00-04:00,26.51534160678697,26.72255905046079,26.391012405327928,26.589941024780273,8547300
2008-03-26 00:00:00-04:00,26.44903050082398,26.556783626244265,26.134063109991526,26.3247013092041,9219700
2008-03-27 00:00:00-04:00,26.424164906505414,26.490473916297304,25.95171301412178,26.009733200073242,9569900
2008-03-28 00:00:00-04:00,26.18379850483442,26.341283014981475,25.69476890563965,25.69476890563965,11021000
2008-03-31 00:00:00-04:00,25.727921094156343,26.092619857545976,25.68647697495423,26.009733200073242,11352000
2008-04-01 00:00:00-04:00,26.125775599193048,26.540207312704617,26.125775599193048,26.449031829833984,15649900
2008-04-02 00:00:00-04:00,26.523632116439646,26.84688837696062,26.076045065627525,26.158931732177734,13072500
2008-04-03 00:00:00-04:00,26.05117896534176,26.27497248037928,25.81909662594008,26.134065628051758,8981100
2008-04-04 00:00:00-04:00,26.125774334064918,26.20866098893979,25.744496354013084,25.893692016601562,12519000
2008-04-07 00:00:00-04:00,26.034598904916738,26.29983493627351,25.868825594853032,26.125774383544922,9732500
